date,sampling station,sampling depth,sampling method,PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,lipophylic_toxins
2001-09-11,24,integrated,phytoplankton net,10.0,330.0,10.0,?,85.0,23.0,113.99999999999999,6.0,34.0,neg
2001-09-11,35,integrated,phytoplankton net,0.0,540.0,50.0,?,65.0,28.999999999999996,80.0,28.999999999999996,28.999999999999996,neg
2001-09-25,35,integrated,phytoplankton net,1550.0,610.0,0.0,?,87.0,80.0,109.00000000000001,7.000000000000001,160.0,neg
2001-09-25,24,integrated,phytoplankton net,819.9999999999999,430.0,10.0,?,97.0,34.0,63.0,0.0,171.0,neg
2001-10-09,24,integrated,phytoplankton net,110.00000000000001,1720.0,10.0,?,85.0,262.0,125.0,0.0,1139.0,neg
2001-10-09,35,integrated,phytoplankton net,220.00000000000003,919.9999999999999,0.0,?,73.0,174.0,102.0,0.0,436.00000000000006,neg
2001-10-23,24,integrated,phytoplankton net,350.0,700.0,0.0,?,11.0,142.0,51.0,0.0,479.0,neg
2001-10-23,35,integrated,phytoplankton net,70.0,1080.0,0.0,?,7.000000000000001,167.0,182.0,7.000000000000001,698.0,neg
2001-11-06,35,integrated,phytoplankton net,20.0,120.0,20.0,?,7.000000000000001,15.0,65.0,0.0,28.999999999999996,neg
2001-11-06,24,integrated,phytoplankton net,0.0,100.0,0.0,?,6.0,0.0,34.0,0.0,51.0,?
2001-11-19,35,integrated,phytoplankton net,0.0,100.0,0.0,?,0.0,0.0,28.999999999999996,0.0,65.0,neg
2001-11-19,24,integrated,phytoplankton net,0.0,110.00000000000001,20.0,?,17.0,6.0,17.0,0.0,56.99999999999999,?
2002-01-16,35,12,Niskin,0.0,5.0,0.0,?,0.0,0.0,4.7,0.0,0.0,?
2002-01-16,24,0.5,Niskin,0.0,4.0,0.0,?,0.0,0.0,0.0,4.4,0.0,?
2002-02-12,35,0.5,Niskin,148.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2002-02-12,24,14,Niskin,81.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2002-03-12,24,0.5,Niskin,86.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2002-03-12,35,0.5,Niskin,14.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2002-04-17,35,0.5,Niskin,154.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,poz
2002-04-17,24,6,Niskin,0.0,9.0,0.0,?,0.0,0.0,9.2,0.0,0.0,poz
2002-05-07,35,12,Niskin,81.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,poz
2002-05-07,24,6,Niskin,76.0,5.0,0.0,?,0.0,0.0,0.0,4.5,0.0,poz
2002-05-22,24,6,Niskin,79.0,9.0,227.0,?,0.0,0.0,4.4,4.4,0.0,neg
2002-05-22,35,0.5,Niskin,379.0,27.0,46.0,?,4.5,0.0,0.0,22.7,0.0,poz
2002-06-04,24,0.5,Niskin,133.0,27.0,32.0,?,13.5,0.0,4.5,9.0,0.0,poz
2002-06-04,35,6,Niskin,94.0,18.0,45.0,?,9.0,0.0,0.0,9.0,0.0,neg
2002-06-18,24,14,Niskin,0.0,5.0,5.0,?,0.0,0.0,4.7,0.0,0.0,neg
2002-06-18,35,12,Niskin,76.0,63.0,27.0,?,62.9,0.0,0.0,0.0,0.0,neg
2002-07-02,24,14,Niskin,0.0,92.0,8.0,?,84.0,8.0,0.0,0.0,0.0,poz
2002-07-02,35,12,Niskin,0.0,93.0,28.0,?,84.8,0.0,8.1,0.0,0.0,poz
2002-07-17,24,6,Niskin,0.0,5.0,0.0,?,4.5,0.0,0.0,0.0,0.0,neg
